Customer ID,Purchase Date,Monetary,Quantity,Age,Gender,Returns,Churn,Frequency,Recency,R_Score,F_Score,M_Score,RFM Score,Cluster,Customer Segment
1,2023-07-19 19:09:20,9781,20,67,Female,1.0,0,4,58,3,1,1,311,2,Loyal
2,2023-07-03 17:26:19,24469,26,42,Female,5.0,0,9,74,3,2,2,322,3,Regular
3,2023-06-18 12:31:42,32010,38,31,Male,3.0,0,12,89,3,3,3,333,1,High Value
4,2023-05-12 10:50:24,16541,28,37,Male,4.0,1,9,127,2,2,1,221,3,Regular
5,2023-03-28 13:30:55,22293,46,24,Female,7.0,0,13,171,2,4,2,242,1,High Value
6,2023-04-26 08:29:49,40945,38,34,Female,5.0,1,15,143,2,4,4,244,1,High Value
7,2023-04-24 22:16:48,25660,43,22,Male,4.0,1,11,144,2,3,2,232,3,Regular
8,2023-08-19 03:19:57,31510,42,66,Male,6.0,0,13,28,4,4,3,443,1,High Value
9,2023-05-12 12:13:50,39341,32,39,Female,6.0,0,12,127,2,3,4,234,1,High Value
10,2023-05-06 04:06:27,41529,46,49,Female,6.0,1,16,133,2,4,4,244,1,High Value
11,2023-06-03 07:05:16,41421,58,67,Male,9.0,1,18,105,2,4,4,244,1,High Value
12,2023-05-23 15:09:02,32134,31,31,Male,1.0,0,13,115,2,4,3,243,3,Regular
13,2023-06-18 16:01:49,21042,31,60,Male,5.0,0,9,89,3,2,2,322,2,Loyal
14,2022-12-24 13:58:40,30280,32,42,Male,3.0,1,11,265,1,3,3,133,3,Regular
15,2023-06-24 18:38:14,36281,29,38,Male,6.0,1,10,83,3,2,4,324,3,Regular
16,2023-05-31 22:53:07,22442,22,67,Male,2.0,1,8,107,2,1,2,212,2,Loyal
17,2023-09-01 22:20:48,47010,51,32,Male,4.0,0,17,14,4,4,4,444,1,High Value
18,2023-05-22 23:18:35,28585,25,52,Male,4.0,0,10,116,2,2,3,223,2,Loyal
19,2023-05-13 03:09:43,21041,31,37,Male,6.0,1,10,126,2,2,2,222,3,Regular
20,2023-06-29 09:57:32,38871,35,42,Male,6.0,0,12,79,3,3,4,334,1,High Value
21,2023-06-28 09:00:31,22513,20,20,Male,1.0,1,9,80,3,2,2,322,3,Regular
22,2023-08-31 02:30:31,46189,41,40,Female,4.0,0,14,16,4,4,4,444,1,High Value
23,2023-06-21 21:03:53,37933,41,33,Female,4.0,1,13,86,3,4,4,344,1,High Value
24,2023-04-27 01:26:46,35379,27,69,Female,4.0,1,10,142,2,2,4,224,2,Loyal
25,2022-11-15 10:10:59,27331,30,18,Female,4.0,0,9,305,1,2,3,123,3,Regular
26,2023-03-13 16:30:10,29544,30,50,Male,5.0,1,9,186,2,2,3,223,2,Loyal
27,2023-05-14 20:26:50,24814,22,45,Female,3.0,1,7,124,2,1,2,212,2,Loyal
28,2023-04-30 11:17:37,26982,31,56,Male,2.0,0,10,139,2,2,3,223,2,Loyal
29,2022-05-24 18:34:01,29934,31,54,Male,4.0,0,12,479,1,3,3,133,0,At Risk
30,2023-07-18 10:43:58,39459,54,33,Female,5.0,1,15,60,3,4,4,344,1,High Value
31,2023-07-16 21:14:31,25834,32,50,Male,3.0,0,10,61,3,2,2,322,2,Loyal
32,2022-07-18 16:46:03,29520,30,39,Female,5.0,1,11,424,1,3,3,133,0,At Risk
33,2023-01-25 16:34:38,38268,50,41,Male,7.0,1,15,233,1,4,4,144,1,High Value
34,2022-11-17 03:59:49,4003,11,57,Male,2.0,1,3,303,1,1,1,111,0,At Risk
35,2023-05-02 05:28:43,36434,50,65,Female,8.0,1,16,137,2,4,4,244,1,High Value
36,2023-08-19 12:56:02,22688,26,38,Male,4.0,0,8,27,4,1,2,412,3,Regular
37,2023-08-12 09:14:29,24928,35,52,Female,4.0,0,12,35,4,3,2,432,2,Loyal
38,2023-03-22 03:55:14,18128,18,44,Female,4.0,0,7,178,2,1,1,211,0,At Risk
39,2023-04-23 22:09:30,34180,37,36,Male,6.0,0,11,145,2,3,4,234,1,High Value
40,2022-12-10 17:33:16,21641,25,32,Female,3.0,0,8,279,1,1,2,112,0,At Risk
41,2023-01-30 06:29:47,39348,35,70,Female,5.0,1,13,229,1,4,4,144,1,High Value
42,2023-08-25 18:07:26,25479,27,22,Female,3.0,0,9,21,4,2,2,422,3,Regular
43,2023-07-16 19:12:53,26957,24,60,Male,4.0,0,10,61,3,2,3,323,2,Loyal
44,2023-07-07 14:04:45,28302,35,28,Female,5.0,0,9,70,3,2,3,323,3,Regular
45,2023-08-24 14:19:10,30286,23,70,Female,1.0,1,9,22,4,2,3,423,2,Loyal
46,2023-06-08 10:48:56,42186,49,37,Female,2.0,0,15,100,2,4,4,244,1,High Value
47,2023-01-15 19:37:08,29314,38,18,Female,5.0,0,11,243,1,3,3,133,3,Regular
48,2023-08-19 21:48:53,29155,22,36,Female,3.0,1,8,27,4,1,3,413,3,Regular
49,2021-12-23 10:07:48,15193,17,63,Male,3.0,0,6,632,1,1,1,111,0,At Risk
50,2023-08-25 19:52:58,27264,26,38,Female,5.0,0,9,21,4,2,3,423,3,Regular
51,2022-10-29 13:51:13,40249,42,18,Male,7.0,1,15,321,1,4,4,144,1,High Value
