Customer ID,Purchase Date,Monetary,Quantity,Age,Gender,Returns,Churn,Frequency,Recency,R_Score,F_Score,M_Score,RFM Score,Cluster,Customer Segment,CLV
36437,2023-08-25 12:36:58,74138,68,70,Male,9.0,0,24,21,4,4,4,444,1,High Value,1779312
42196,2023-07-23 20:52:02,76910,73,59,Male,11.0,0,23,54,3,4,4,344,1,High Value,1768930
19409,2023-09-06 08:45:24,71463,72,60,Female,13.0,1,24,10,4,4,4,444,1,High Value,1715112
31712,2023-07-13 11:59:31,71208,73,39,Female,10.0,0,23,65,3,4,4,344,1,High Value,1637784
49743,2023-07-28 03:20:38,72526,66,21,Male,10.0,0,22,50,3,4,4,344,1,High Value,1595572
36949,2023-09-02 20:39:45,67541,72,37,Female,10.0,1,23,13,4,4,4,444,1,High Value,1553443
46629,2023-09-14 10:25:08,64477,62,28,Female,9.0,0,24,2,4,4,4,444,1,High Value,1547448
42297,2023-06-21 00:25:16,65529,62,23,Female,11.0,0,23,87,3,4,4,344,1,High Value,1507167
24940,2023-09-07 17:48:24,71661,59,69,Female,9.0,1,21,8,4,4,4,444,1,High Value,1504881
26365,2023-07-02 05:11:11,65060,68,19,Male,14.0,1,23,76,3,4,4,344,1,High Value,1496380
